Province/State,Country/Region,Lat,Long,Date,Value,ISO 3166-1 Alpha 3-Codes,Region Code,Sub-region Code,Intermediate Region Code
#adm1+name,#country+name,#geo+lat,#geo+lon,#date,#affected+infected+value+num,#country+code,#region+main+code,#region+sub+code,#region+intermediate+code
,Albania,41.1533,20.1683,2020-01-26,0,ALB,150,39,
,Albania,41.1533,20.1683,2020-01-25,0,ALB,150,39,
,Albania,41.1533,20.1683,2020-01-24,0,ALB,150,39,
,Albania,41.1533,20.1683,2020-01-23,0,ALB,150,39,
,Albania,41.1533,20.1683,2020-01-22,0,ALB,150,39,
,Algeria,28.0339,1.6596,2020-04-02,86,DZA,2,15,
,Algeria,28.0339,1.6596,2020-04-01,58,DZA,2,15,
,Algeria,28.0339,1.6596,2020-03-31,44,DZA,2,15,
,Algeria,28.0339,1.6596,2020-03-30,35,DZA,2,15,
,Algeria,28.0339,1.6596,2020-03-29,31,DZA,2,15,
,Algeria,28.0339,1.6596,2020-03-28,29,DZA,2,15,
,Algeria,28.0339,1.6596,2020-03-27,26,DZA,2,15,
,Algeria,28.0339,1.6596,2020-03-26,25,DZA,2,15,
,Algeria,28.0339,1.6596,2020-03-25,21,DZA,2,15,
,Algeria,28.0339,1.6596,2020-03-24,19,DZA,2,15,
,Algeria,28.0339,1.6596,2020-03-23,17,DZA,2,15,
,Algeria,28.0339,1.6596,2020-03-22,17,DZA,2,15,
,Algeria,28.0339,1.6596,2020-03-21,15,DZA,2,15,
,Algeria,28.0339,1.6596,2020-03-20,11,DZA,2,15,
,Algeria,28.0339,1.6596,2020-03-19,9,DZA,2,15,
,Algeria,28.0339,1.6596,2020-03-18,7,DZA,2,15,
,Algeria,28.0339,1.6596,2020-03-17,4,DZA,2,15,
,Algeria,28.0339,1.6596,2020-03-16,4,DZA,2,15,
,Algeria,28.0339,1.6596,2020-03-15,4,DZA,2,15,
,Algeria,28.0339,1.6596,2020-03-14,3,DZA,2,15,
,Algeria,28.0339,1.6596,2020-03-13,2,DZA,2,15,
,Algeria,28.0339,1.6596,2020-03-12,1,DZA,2,15,
,Algeria,28.0339,1.6596,2020-03-11,0,DZA,2,15,
,Algeria,28.0339,1.6596,2020-03-10,0,DZA,2,15,
,Algeria,28.0339,1.6596,2020-03-09,0,DZA,2,15,
,Algeria,28.0339,1.6596,2020-03-08,0,DZA,2,15,
,Algeria,28.0339,1.6596,2020-03-07,0,DZA,2,15,
,Algeria,28.0339,1.6596,2020-03-06,0,DZA,2,15,
,Algeria,28.0339,1.6596,2020-03-05,0,DZA,2,15,
,Algeria,28.0339,1.6596,2020-03-04,0,DZA,2,15,
,Algeria,28.0339,1.6596,2020-03-03,0,DZA,2,15,
,Algeria,28.0339,1.6596,2020-03-02,0,DZA,2,15,
,Algeria,28.0339,1.6596,2020-03-01,0,DZA,2,15,
,Algeria,28.0339,1.6596,2020-02-29,0,DZA,2,15,
,Algeria,28.0339,1.6596,2020-02-28,0,DZA,2,15,
,Algeria,28.0339,1.6596,2020-02-27,0,DZA,2,15,
,Algeria,28.0339,1.6596,2020-02-26,0,DZA,2,15,
,Algeria,28.0339,1.6596,2020-02-25,0,DZA,2,15,
,Algeria,28.0339,1.6596,2020-02-24,0,DZA,2,15,
,Algeria,28.0339,1.6596,2020-02-23,0,DZA,2,15,
,Algeria,28.0339,1.6596,2020-02-22,0,DZA,2,15,
,Algeria,28.0339,1.6596,2020-02-21,0,DZA,2,15,
,Algeria,28.0339,1.6596,2020-02-20,0,DZA,2,15,
,Algeria,28.0339,1.6596,2020-02-19,0,DZA,2,15,
,Algeria,28.0339,1.6596,2020-02-18,0,DZA,2,15,
,Algeria,28.0339,1.6596,2020-02-17,0,DZA,2,15,
,Algeria,28.0339,1.6596,2020-02-16,0,DZA,2,15,
,Algeria,28.0339,1.6596,2020-02-15,0,DZA,2,15,
,Algeria,28.0339,1.6596,2020-02-14,0,DZA,2,15,
,Algeria,28.0339,1.6596,2020-02-13,0,DZA,2,15,
,Algeria,28.0339,1.6596,2020-02-12,0,DZA,2,15,
,Algeria,28.0339,1.6596,2020-02-11,0,DZA,2,15,
,Algeria,28.0339,1.6596,2020-02-10,0,DZA,2,15,
,Algeria,28.0339,1.6596,2020-02-09,0,DZA,2,15,
,Algeria,28.0339,1.6596,2020-02-08,0,DZA,2,15,
,Algeria,28.0339,1.6596,2020-02-07,0,DZA,2,15,
,Algeria,28.0339,1.6596,2020-02-06,0,DZA,2,15,
,Algeria,28.0339,1.6596,2020-02-05,0,DZA,2,15,
,Algeria,28.0339,1.6596,2020-02-04,0,DZA,2,15,
,Algeria,28.0339,1.6596,2020-02-03,0,DZA,2,15,
,Algeria,28.0339,1.6596,2020-02-02,0,DZA,2,15,
,Algeria,28.0339,1.6596,2020-02-01,0,DZA,2,15,
,Algeria,28.0339,1.6596,2020-01-31,0,DZA,2,15,
,Algeria,28.0339,1.6596,2020-01-30,0,DZA,2,15,
,Algeria,28.0339,1.6596,2020-01-29,0,DZA,2,15,
,Algeria,28.0339,1.6596,2020-01-28,0,DZA,2,15,
,Algeria,28.0339,1.6596,2020-01-27,0,DZA,2,15,
,Algeria,28.0339,1.6596,2020-01-26,0,DZA,2,15,
,Algeria,28.0339,1.6596,2020-01-25,0,DZA,2,15,
,Algeria,28.0339,1.6596,2020-01-24,0,DZA,2,15,
,Algeria,28.0339,1.6596,2020-01-23,0,DZA,2,15,
,Algeria,28.0339,1.6596,2020-01-22,0,DZA,2,15,
,Andorra,42.5063,1.5218,2020-04-02,15,AND,150,39,
,Andorra,42.5063,1.5218,2020-04-01,14,AND,150,39,
,Andorra,42.5063,1.5218,2020-03-31,12,AND,150,39,
,Andorra,42.5063,1.5218,2020-03-30,8,AND,150,39,
,Andorra,42.5063,1.5218,2020-03-29,6,AND,150,39,
,Andorra,42.5063,1.5218,2020-03-28,3,AND,150,39,
,Andorra,42.5063,1.5218,2020-03-27,3,AND,150,39,
,Andorra,42.5063,1.5218,2020-03-26,3,AND,150,39,
,Andorra,42.5063,1.5218,2020-03-25,1,AND,150,39,
,Andorra,42.5063,1.5218,2020-03-24,1,AND,150,39,
,Andorra,42.5063,1.5218,2020-03-23,1,AND,150,39,
,Andorra,42.5063,1.5218,2020-03-22,1,AND,150,39,
,Andorra,42.5063,1.5218,2020-03-21,0,AND,150,39,
