Province/State,Country/Region,Lat,Long,Date,Value,ISO 3166-1 Alpha 3-Codes,Region Code,Sub-region Code,Intermediate Region Code
#adm1+name,#country+name,#geo+lat,#geo+lon,#date,#affected+infected+value+num,#country+code,#region+main+code,#region+sub+code,#region+intermediate+code
,Albania,41.1533,20.1683,2020-04-23,663,ALB,150,39,
,Albania,41.1533,20.1683,2020-04-22,634,ALB,150,39,
,Albania,41.1533,20.1683,2020-04-21,609,ALB,150,39,
,Albania,41.1533,20.1683,2020-04-20,584,ALB,150,39,
,Albania,41.1533,20.1683,2020-04-19,562,ALB,150,39,
,Albania,41.1533,20.1683,2020-04-18,548,ALB,150,39,
,Albania,41.1533,20.1683,2020-04-17,539,ALB,150,39,
,Albania,41.1533,20.1683,2020-04-16,518,ALB,150,39,
,Albania,41.1533,20.1683,2020-04-15,494,ALB,150,39,
,Albania,41.1533,20.1683,2020-04-14,475,ALB,150,39,
,Albania,41.1533,20.1683,2020-04-13,467,ALB,150,39,
,Albania,41.1533,20.1683,2020-04-12,446,ALB,150,39,
,Albania,41.1533,20.1683,2020-04-11,433,ALB,150,39,
,Albania,41.1533,20.1683,2020-04-10,416,ALB,150,39,
,Albania,41.1533,20.1683,2020-04-09,409,ALB,150,39,
,Albania,41.1533,20.1683,2020-04-08,400,ALB,150,39,
,Albania,41.1533,20.1683,2020-04-07,383,ALB,150,39,
,Albania,41.1533,20.1683,2020-04-06,377,ALB,150,39,
,Albania,41.1533,20.1683,2020-04-05,361,ALB,150,39,
,Albania,41.1533,20.1683,2020-04-04,333,ALB,150,39,
,Albania,41.1533,20.1683,2020-04-03,304,ALB,150,39,
,Albania,41.1533,20.1683,2020-04-02,277,ALB,150,39,
,Albania,41.1533,20.1683,2020-04-01,259,ALB,150,39,
,Albania,41.1533,20.1683,2020-03-31,243,ALB,150,39,
,Albania,41.1533,20.1683,2020-03-30,223,ALB,150,39,
,Albania,41.1533,20.1683,2020-03-29,212,ALB,150,39,
,Albania,41.1533,20.1683,2020-03-28,197,ALB,150,39,
,Albania,41.1533,20.1683,2020-03-27,186,ALB,150,39,
,Albania,41.1533,20.1683,2020-03-26,174,ALB,150,39,
,Albania,41.1533,20.1683,2020-03-25,146,ALB,150,39,
,Albania,41.1533,20.1683,2020-03-24,123,ALB,150,39,
,Albania,41.1533,20.1683,2020-03-23,104,ALB,150,39,
,Albania,41.1533,20.1683,2020-03-22,89,ALB,150,39,
,Albania,41.1533,20.1683,2020-03-21,76,ALB,150,39,
