id	datestamp	timestamp	username	tweet	replies_count	retweets_count	likes_count	url	country
1241416783338205184	2020-03-21	14:30:00	pdchina	World Sleep Day in China falls on March 21 and this year “Sound Sleep, Healthy China” is the motto! These cute animals are practicing for the day! pic.twitter.com/VR31ho5kBI	12	36	163	https://twitter.com/PDChina/status/1241416783338205184	China
1241401683877318656	2020-03-21	13:30:00	pdchina	#China firmly supports Germany's endeavor in combating #COVID_19 and is willing to provide assistance within its capacity if there is a need from the German side, said Chinese President #XiJinping #CoronavirusPandemic pic.twitter.com/xM3espxbSR	77	225	1112	https://twitter.com/PDChina/status/1241401683877318656	China
1241386585527947264	2020-03-21	12:30:00	pdchina	#China has sent a team of medical experts to #Serbia to help the country fight novel #coronavirus disease (#COVID_19), said Chinese  Foreign Ministry on Saturday #CoronavirusPandemic pic.twitter.com/w2gENTfi23	61	202	937	https://twitter.com/PDChina/status/1241386585527947264	China
1241371485056499717	2020-03-21	11:30:00	pdchina	8 tons of medical supplies provided by #China to #Greece after Athens' urgent request arrived Saturday morning at Athens international airport. The aid consists of 550,000 masks and sets of protective gear, according to Chinese embassy in Greece. #CoronavirusPandemic pic.twitter.com/pDmp1gZNVi	34	165	466	https://twitter.com/PDChina/status/1241371485056499717	China
1241356385910231040	2020-03-21	10:30:00	pdchina	Five foreign financial institutions, incl J.P. Morgan, held an #online #opening ceremony in #Shanghai on Mar. 20 as the city rapidly develops into an international financial center. pic.twitter.com/5OJxIUmSES	14	25	134	https://twitter.com/PDChina/status/1241356385910231040	China
1241343441776320513	2020-03-21	09:38:34	pdchina	Chinese President #XiJinping said #China stands ready to work with #France to boost international cooperation in epidemic prevention and control. Xi made the remarks in a recent message to French President Emmanuel Macron. #CoronavirusPandemic pic.twitter.com/C5TMueXVuM	51	108	540	https://twitter.com/PDChina/status/1241343441776320513	China
1241332729511161857	2020-03-21	08:56:00	pdchina	"#LATEST on #CoronaOutbreak outside China: 
- Spain: 24,926 cases, 1,326 deaths
- Iran: 20,610 cases, 1,556 deaths
- Germany: 16,662 cases, 47 deaths
- Belgium: 2,815 cases, 67 deaths
- Malaysia: 1,183 cases, 4 deaths
- 40 African countries and regions confirmed 1,003 cases so far pic.twitter.com/juA7EGd1SG"	50	135	287	https://twitter.com/PDChina/status/1241332729511161857	China
1241314383403167744	2020-03-21	07:43:06	pdchina	Chinese President #XiJinping has sent messages of sympathy to French President Emmanuel Macron, German Chancellor Angela Merkel, Spanish King Felipe VI and Serbian President Aleksandar Vucic over the #COVID19 situation in their countries, CCTV reported on Sat. pic.twitter.com/gsw8KPYqQm	61	135	521	https://twitter.com/PDChina/status/1241314383403167744	China
1241287934235402240	2020-03-21	05:58:00	pdchina	The number of imported #COVID19 cases in China has increased from 85 to 269 over the past 10 days, with an increase of 216%, which is faster than the 98% growth rate of confirmed cases globally during the period, according to the National Health Commission on Saturday. pic.twitter.com/Wi3qjM9IHL	129	286	630	https://twitter.com/PDChina/status/1241287934235402240	China
1241273338053292032	2020-03-21	05:00:00	pdchina	After a sedentary winter, now let’s wake up our muscles and enjoy the pinkish cherry blossoms. #Kungfu pic.twitter.com/fdiBYvh0SE	54	329	1884	https://twitter.com/PDChina/status/1241273338053292032	China
1241258715505782785	2020-03-21	04:01:53	pdchina	The number of #COVID19 cases in the U.S. reached 19,624 as of 11 p.m. on Friday local time, up about 5,000 from the previous day. A total of 260 fatalities have been reported. pic.twitter.com/aGtyJWLXlD	14	62	120	https://twitter.com/PDChina/status/1241258715505782785	China
